//==============================================================
// SHOP
//==============================================================
//SLOTS X = 0~7 , Y = 0~14 , * = Orden original
//Index	Level	Dur	Skill	Luck	Option	ExcOp	SlotX	SlotY	Comment

14,000	00	050	0	0	0	0	0	0	// Apple x50
14,000	00	100	0	0	0	0	0	1	// Apple x100
14,000	00	255	0	0	0	0	0	2	// Apple x255
14,001	00	050	0	0	0	0	1	0	// Small Healing Potion x50
14,001	00	100	0	0	0	0	1	1	// Small Healing Potion x100
14,001	00	255	0	0	0	0	1	2	// Small Healing Potion x255
14,002	00	050	0	0	0	0	2	0	// Medium Healing Potion x50
14,002	00	100	0	0	0	0	2	1	// Medium Healing Potion x100
14,002	00	255	0	0	0	0	2	2	// Medium Healing Potion x255
14,003	00	050	0	0	0	0	3	0	// Large Healing Potion x50
14,003	00	100	0	0	0	0	3	1	// Large Healing Potion x100
14,003	00	255	0	0	0	0	3	2	// Large Healing Potion x255
14,004	00	050	0	0	0	0	4	0	// Small Mana Potion x50
14,004	00	100	0	0	0	0	4	1	// Small Mana Potion x100
14,004	00	255	0	0	0	0	4	2	// Small Mana Potion x255
14,005	00	050	0	0	0	0	5	0	// Medium Mana Potion x50
14,005	00	100	0	0	0	0	5	1	// Medium Mana Potion x100
14,005	00	255	0	0	0	0	5	2	// Medium Mana Potion x255
14,006	00	050	0	0	0	0	6	0	// Large Mana Potion x50
14,006	00	100	0	0	0	0	6	1	// Large Mana Potion x100
14,006	00	255	0	0	0	0	6	2	// Large Mana Potion x255
14,008	00	050	0	0	0	0	7	0	// Antidote x50
14,008	00	100	0	0	0	0	7	1	// Antidote x100
14,008	00	255	0	0	0	0	7	2	// Antidote x255

07,000	00	*	0	0	0	0	0	3	// Casco Bronze
08,000	00	*	0	0	0	0	0	5	// Pecho Bronze
10,000	00	*	0	0	0	0	0	7	// Gloves Bronze
09,000	00	*	0	0	0	0	0	9	// Pants Bronze
11,000	00	*	0	0	0	0	0	11	// Botas Bronze

07,002	00	*	0	0	0	0	2	3	// Casco Pad
08,002	00	*	0	0	0	0	2	5	// Pecho Pad
10,002	00	*	0	0	0	0	2	7	// Gloves Pad
09,002	00	*	0	0	0	0	2	9	// Pants Pad
11,002	00	*	0	0	0	0	2	11	// Botas Pad

00,001	00	*	0	0	0	0	4	3	// Short Sword
01,001	00	*	0	0	0	0	5	3	// Hand Axe
00,003	00	*	1	0	0	0	6	3	// Katana
01,003	00	*	1	0	0	0	7	3	// Tomahawk

06,000	00	*	0	0	0	0	4	6	// Small Shield
06,002	00	*	0	0	0	0	6	6	// Kite Shield

05,001	00	*	1	0	0	0	4	8	// Angelic Staff
05,002	00	*	1	0	0	0	6	8	// Serpent Staff

end
